sku,name,msrp,Platform Overlap,Both,Only Shopify
OCFJ38BBA,Cage Fighter Tungsten Flipping Jig,9.99,Both,294,19
OCFJ12BBA,Cage Fighter Tungsten Flipping Jig,9.99,Both,,
OCFJ58BBA,Cage Fighter Tungsten Flipping Jig,9.99,Both,,
OCFJ38BSH,Cage Fighter Tungsten Flipping Jig,9.99,Both,,
OCFJ12BSH,Cage Fighter Tungsten Flipping Jig,9.99,Both,,
OCFJ58BSH,Cage Fighter Tungsten Flipping Jig,9.99,Both,,
OCFJ38BM,Cage Fighter Tungsten Flipping Jig,9.99,Both,,
OCFJ12BM,Cage Fighter Tungsten Flipping Jig,9.99,Both,,
OCFJ58BM,Cage Fighter Tungsten Flipping Jig,9.99,Both,,
OCFJ38CH,Cage Fighter Tungsten Flipping Jig,9.99,Both,,
OCFJ12CH,Cage Fighter Tungsten Flipping Jig,9.99,Both,,
OCFJ58CH,Cage Fighter Tungsten Flipping Jig,9.99,Both,,
OCFJ38MC,Cage Fighter Tungsten Flipping Jig,9.99,Both,,
OCFJ12MC,Cage Fighter Tungsten Flipping Jig,9.99,Both,,
OCFJ58MC,Cage Fighter Tungsten Flipping Jig,9.99,Both,,
OCFJ38MP,Cage Fighter Tungsten Flipping Jig,9.99,Both,,
OCFJ12MP,Cage Fighter Tungsten Flipping Jig,9.99,Both,,
OCFJ58MP,Cage Fighter Tungsten Flipping Jig,9.99,Both,,
OCFJ38T,Cage Fighter Tungsten Flipping Jig,9.99,Both,,
OCFJ12T,Cage Fighter Tungsten Flipping Jig,9.99,Both,,
OCFJ58T,Cage Fighter Tungsten Flipping Jig,9.99,Both,,
OCFJ38GPC,Cage Fighter Tungsten Flipping Jig,9.99,Both,,
OCFJ12GPC,Cage Fighter Tungsten Flipping Jig,9.99,Both,,
OCFJ58GPC,Cage Fighter Tungsten Flipping Jig,9.99,Both,,
OCFJ38DP,Cage Fighter Tungsten Flipping Jig,9.99,Both,,
OCFJ12DP,Cage Fighter Tungsten Flipping Jig,9.99,Both,,
OCFJ58DP,Cage Fighter Tungsten Flipping Jig,9.99,Both,,
OCJ12BG,Chicken Hair Jig,17.99,Both,,
OCJ58BG,Chicken Hair Jig,17.99,Both,,
OCJ34BG,Chicken Hair Jig,17.99,Both,,
OCJ12W,Chicken Hair Jig,17.99,Both,,
OCJ58W,Chicken Hair Jig,17.99,Both,,
OCJ34W,Chicken Hair Jig,17.99,Both,,
OCJ12WC,Chicken Hair Jig,17.99,Both,,
OCJ58WC,Chicken Hair Jig,17.99,Both,,
OCJ34WC,Chicken Hair Jig,17.99,Both,,
OCJ12C,Chicken Hair Jig,17.99,Both,,
OCJ58C,Chicken Hair Jig,17.99,Both,,
OCJ34C,Chicken Hair Jig,17.99,Both,,
OCJ12GS,Chicken Hair Jig,17.99,Both,,
OCJ58GS,Chicken Hair Jig,17.99,Both,,
OCJ34GS,Chicken Hair Jig,17.99,Both,,
OCJ12P,Chicken Hair Jig,17.99,Both,,
OCJ58P,Chicken Hair Jig,17.99,Both,,
OCJ34P,Chicken Hair Jig,17.99,Both,,
OCNJ12PR,Chicken Nugget,14.99,Both,,
OCNJ14PR,Chicken Nugget,14.99,Both,,
OCNJ38PR,Chicken Nugget,14.99,Both,,
OCNJ12BG,Chicken Nugget,14.99,Both,,
OCNJ14BG,Chicken Nugget,14.99,Both,,
OCNJ38BG,Chicken Nugget,14.99,Both,,
OCNJ12LS,Chicken Nugget,14.99,Both,,
OCNJ14LS,Chicken Nugget,14.99,Both,,
OCNJ38LS,Chicken Nugget,14.99,Both,,
FR-OPN11610GP,Dark Green Perfect Ned Head (3-Pack) - Outsiders,1.99,Only Shopify,,
FR-OPN11620GP,Dark Green Perfect Ned Head (3-Pack) - Outsiders,1.99,Only Shopify,,
FR-OPN33210GP,Dark Green Perfect Ned Head (3-Pack) - Outsiders,1.99,Only Shopify,,
FR-OPN33220GP,Dark Green Perfect Ned Head (3-Pack) - Outsiders,1.99,Only Shopify,,
FR-OPN18010GP,Dark Green Perfect Ned Head (3-Pack) - Outsiders,1.99,Only Shopify,,
FR-OPN18020GP,Dark Green Perfect Ned Head (3-Pack) - Outsiders,1.99,Only Shopify,,
FR-OPN31610GP,Dark Green Perfect Ned Head (3-Pack) - Outsiders,1.99,Only Shopify,,
FR-OPN31620GP,Dark Green Perfect Ned Head (3-Pack) - Outsiders,1.99,Only Shopify,,
FR-OPN14020GP,Dark Green Perfect Ned Head (3-Pack) - Outsiders,1.99,Only Shopify,,
OED16SH,Eye Drop (2-Pack),10.29,Both,,
OED16B,Eye Drop (2-Pack),10.29,Both,,
OFF116BK,Fighter Fly Marabou Jig (2-Pack),10.29,Both,,
OFF332BK,Fighter Fly Marabou Jig (2-Pack),10.29,Both,,
OFF180BK,Fighter Fly Marabou Jig (2-Pack),10.29,Both,,
OFF116BKCH,Fighter Fly Marabou Jig (2-Pack),10.29,Both,,
OFF332BKCH,Fighter Fly Marabou Jig (2-Pack),10.29,Both,,
OFF180BKCH,Fighter Fly Marabou Jig (2-Pack),10.29,Both,,
OFF116BKP,Fighter Fly Marabou Jig (2-Pack),10.29,Both,,
OFF332BKP,Fighter Fly Marabou Jig (2-Pack),10.29,Both,,
OFF180BKP,Fighter Fly Marabou Jig (2-Pack),10.29,Both,,
OFF116BN,Fighter Fly Marabou Jig (2-Pack),10.29,Both,,
OFF332BN,Fighter Fly Marabou Jig (2-Pack),10.29,Both,,
OFF180BN,Fighter Fly Marabou Jig (2-Pack),10.29,Both,,
OFF116BO,Fighter Fly Marabou Jig (2-Pack),10.29,Both,,
OFF332BO,Fighter Fly Marabou Jig (2-Pack),10.29,Both,,
OFF180BO,Fighter Fly Marabou Jig (2-Pack),10.29,Both,,
OFF116DG,Fighter Fly Marabou Jig (2-Pack),10.29,Both,,
OFF332DG,Fighter Fly Marabou Jig (2-Pack),10.29,Both,,
OFF180DG,Fighter Fly Marabou Jig (2-Pack),10.29,Both,,
OFF116SD,Fighter Fly Marabou Jig (2-Pack),10.29,Both,,
OFF332SD,Fighter Fly Marabou Jig (2-Pack),10.29,Both,,
OFF180SD,Fighter Fly Marabou Jig (2-Pack),10.29,Both,,
OFF116WN,Fighter Fly Marabou Jig (2-Pack),10.29,Both,,
OFF332WN,Fighter Fly Marabou Jig (2-Pack),10.29,Both,,
OFF180WN,Fighter Fly Marabou Jig (2-Pack),10.29,Both,,
OTI-OFNF332-BB-2,Float N Fly Hair Jig (2-Pack),10.99,Both,,
OTI-OFNF18-BB-2,Float N Fly Hair Jig (2-Pack),10.99,Both,,
OTI-OFNF332-BG-2,Float N Fly Hair Jig (2-Pack),10.99,Both,,
OTI-OFNF18-BG-2,Float N Fly Hair Jig (2-Pack),10.99,Both,,
OTI-OFNF332-SH-2,Float N Fly Hair Jig (2-Pack),10.99,Both,,
OTI-OFNF18-SH-2,Float N Fly Hair Jig (2-Pack),10.99,Both,,
OGSH1810GP,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH1830GP,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH1840GP,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH31620GP,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH31630GP,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH1410GP,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH1430GP,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH1440GP,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH3810GP,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH3830GP,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH3840GP,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH3850GP,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH1240GP,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH1250GP,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH1810UN,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH1830UN,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH1840UN,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH31620UN,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH31630UN,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH1410UN,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH1430UN,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH1440UN,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH3810UN,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH3830UN,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH3840UN,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH3850UN,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH1240UN,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH1250UN,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH1810W,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH1830W,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH1840W,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH31620W,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH31630W,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH1410W,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH1430W,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH1440W,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH3810W,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH3830W,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH3840W,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH3850W,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH1240W,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OGSH1250W,Goldeneye Swimbait Jig Head (2-Pack),5.99,Both,,
OSJH14AS,Heavy Cover Edition Pro Swim Jig,5.99,Both,,
OSJH38AS,Heavy Cover Edition Pro Swim Jig,5.99,Both,,
OSJH14BB,Heavy Cover Edition Pro Swim Jig,5.99,Both,,
OSJH38BB,Heavy Cover Edition Pro Swim Jig,5.99,Both,,
OSJH14BG,Heavy Cover Edition Pro Swim Jig,5.99,Both,,
OSJH38BG,Heavy Cover Edition Pro Swim Jig,5.99,Both,,
OSJH14DM,Heavy Cover Edition Pro Swim Jig,5.99,Both,,
OSJH38DM,Heavy Cover Edition Pro Swim Jig,5.99,Both,,
OSJH14GS,Heavy Cover Edition Pro Swim Jig,5.99,Both,,
OSJH38GS,Heavy Cover Edition Pro Swim Jig,5.99,Both,,
OSJH14MGC,Heavy Cover Edition Pro Swim Jig,5.99,Both,,
OSJH38MGC,Heavy Cover Edition Pro Swim Jig,5.99,Both,,
OSJH14PR,Heavy Cover Edition Pro Swim Jig,5.99,Both,,
OSJH38PR,Heavy Cover Edition Pro Swim Jig,5.99,Both,,
OSJH14WL,Heavy Cover Edition Pro Swim Jig,5.99,Both,,
OSJH38WL,Heavy Cover Edition Pro Swim Jig,5.99,Both,,
OSJH14WR,Heavy Cover Edition Pro Swim Jig,5.99,Both,,
OSJH38WR,Heavy Cover Edition Pro Swim Jig,5.99,Both,,
OJPJ38BG,Jackpot Jig,8.99,Both,,
OJPJ14BG,Jackpot Jig,8.99,Both,,
OJPJ34BG,Jackpot Jig,8.99,Both,,
OJPJ12BG,Jackpot Jig,8.99,Both,,
OJPJ38GS,Jackpot Jig,8.99,Both,,
OJPJ14GS,Jackpot Jig,8.99,Both,,
OJPJ34GS,Jackpot Jig,8.99,Both,,
OJPJ12GS,Jackpot Jig,8.99,Both,,
OJPJ38BBP,Jackpot Jig,8.99,Both,,
OJPJ14BBP,Jackpot Jig,8.99,Both,,
OJPJ34BBP,Jackpot Jig,8.99,Both,,
OJPJ12BBP,Jackpot Jig,8.99,Both,,
OJPJ38RS,Jackpot Jig,8.99,Both,,
OJPJ14RS,Jackpot Jig,8.99,Both,,
OJPJ34RS,Jackpot Jig,8.99,Both,,
OJPJ12RS,Jackpot Jig,8.99,Both,,
112-BNK-A,Jig Life Hat,29.99,Only Shopify,,
112-BRKH,Jig Life Hat,29.99,Only Shopify,,
112-LOB-A,Jig Life Hat,29.99,Only Shopify,,
355-SIB-A,Jig Life Hat,29.99,Only Shopify,,
OJJ38BB,Juice Casting Jig,5.99,Both,,
OJJ12BB,Juice Casting Jig,5.99,Both,,
OJJ38BS,Juice Casting Jig,5.99,Both,,
OJJ12BS,Juice Casting Jig,5.99,Both,,
OJJ38GA,Juice Casting Jig,5.99,Both,,
OJJ12GA,Juice Casting Jig,5.99,Both,,
OJJ38MGC,Juice Casting Jig,5.99,Both,,
OJJ12MGC,Juice Casting Jig,5.99,Both,,
OJJ38PBJ,Juice Casting Jig,5.99,Both,,
OJJ12PBJ,Juice Casting Jig,5.99,Both,,
OJJ38SF,Juice Casting Jig,5.99,Both,,
OJJ12SF,Juice Casting Jig,5.99,Both,,
OJJ38UC,Juice Casting Jig,5.99,Both,,
OJJ12UC,Juice Casting Jig,5.99,Both,,
OJJ38WRC,Juice Casting Jig,5.99,Both,,
OJJ12WRC,Juice Casting Jig,5.99,Both,,
OMJ1830BLK,Money Jig Head (4-Pack),6.99,Both,,
OMJ31640BLK,Money Jig Head (4-Pack),6.99,Both,,
OMJ1830CHT,Money Jig Head (4-Pack),6.99,Both,,
OMJ31640CHT,Money Jig Head (4-Pack),6.99,Both,,
OMJ1830GP,Money Jig Head (4-Pack),6.99,Both,,
OMJ31640GP,Money Jig Head (4-Pack),6.99,Both,,
