sku,name,cost,Platform Overlap,Both,Only Zoey
OCFJ38BBA,Cage Fighter Jig 3/8oz Blk/Brown Amber,3.2,Both,294,74
OCFJ38BM,Cage Fighter Jig 3/8oz Bream,3.2,Both,,
OCFJ38BSH,Cage Fighter Jig 3/8oz Black Sapphire,3.2,Both,,
OCFJ38CH,Cage Fighter Jig 3/8oz Chocolate,3.2,Both,,
OCFJ38MC,Cage Fighter Jig 3/8oz Money Craw,3.2,Both,,
OCFJ38MP,Cage Fighter Jig 3/8oz Mud Puppy,3.2,Both,,
OCFJ12BBA,Cage Fighter Jig 1/2oz Blk/Brown Amber,3.2,Both,,
OCFJ12BM,Cage Fighter Jig 1/2oz Bream,3.2,Both,,
OCFJ12BSH,Cage Fighter Jig 1/2oz Black Sapphire,3.2,Both,,
OCFJ12CH,Cage Fighter Jig 1/2oz Chocolate,3.2,Both,,
OCFJ12MC,Cage Fighter Jig 1/2oz Money Craw,3.2,Both,,
OCFJ12MP,Cage Fighter Jig 1/2oz Mud Puppy,3.2,Both,,
OCFJ58BBA,Cage Fighter Jig 5/8oz Blk/Brown Amber,3.2,Both,,
OCFJ58BM,Cage Fighter Jig 5/8oz Bream,3.2,Both,,
OCFJ58BSH,Cage Fighter Jig 5/8oz Black Sapphire,3.2,Both,,
OCFJ58CH,Cage Fighter Jig 5/8oz Chocolate,3.2,Both,,
OCFJ58MC,Cage Fighter Jig 5/8oz Money Craw,3.2,Both,,
OCFJ58MP,Cage Fighter Jig 5/8oz Mud Puppy,3.2,Both,,
OCJ12BG,Chicken Jig 1/2oz Blue Gill,7.54,Both,,
OCJ12W,Chicken Jig 1/2oz White,7.54,Both,,
OCJ12WC,Chicken Jig 1/2oz White/Chart.,7.54,Both,,
OCJ58BG,Chicken Jig 5/8oz Blue Gill,7.54,Both,,
OCJ58W,Chicken Jig 5/8oz White,7.54,Both,,
OCJ58WC,Chicken Jig 5/8oz White/Chart.,7.54,Both,,
OCJ34BG,Chicken Jig 3/4oz Blue Gill,7.54,Both,,
OCJ34W,Chicken Jig 3/4oz White,7.54,Both,,
OCJ34WC,Chicken Jig 3/4oz White/Chart.,7.54,Both,,
OFF116BK,Fighter Fly Jig 1/16oz Black - 2pk,2.36,Both,,
OFF116BKCH,Fighter Fly 1/16oz Black/Chart - 2pk,2.36,Both,,
OFF116BKP,Fighter Fly 1/16oz Black/Purple - 2pk,2.36,Both,,
OFF116BN,Fighter Fly Jig 1/16oz Brown - 2pk,2.36,Both,,
